한글공항,공항코드1(IATA)
암파라 공항,ADP
코디악 공항,ADQ
애디슨 공항,ADS
아르다빌 공항,ADU
에드 데인 공항,ADV
앤드루스 공군기지,ADW
구스타보 로하스 피닐라 국제공항,ADZ
아베마마 아톨 공항,AEA
바이스 바마 공항,AEB
애크고당공항,AEG
아베셰 공항,AEH
암구 공항,AEM
호르헤 뉴베리 에어파크,AEP
소치 국제 공항,AER
올레순비그라 공항,AES
알라카켓 공항,AET
아부무사 공항,AEU
알렉산드리아 국제 공항,AEX
아쿠레이리 공항,AEY
산 라파엘 공항,AFA
콘다바타반 탱크 수상비행기 기지,AFK
알타 플로레스타 공항,AFL
재프리 공항실버 랜치,AFN
자라프샨 공항,AFS
아푸타라 공항,AFT
포트워스 얼라이언스 공항,AFW
사브제바르 공항,AFZ
아가디르 알 마시라 공항,AGA
아우크스부르크 공항,AGB
앨러게니 카운티 공항,AGC
아겐 라 가렌느 공항,AGF
엔겔홀름 헬싱보리 공항,AGH
아구니 공항,AGJ
와니겔라 공항,AGL
앙군 수상비행기 기지,AGN
말라가 공항,AGP
아그라 공항,AGR
오거스타 공항앳 부시 필드,AGS
과라니 국제 공항,AGT
헤수스 테란 페레도 국제공항,AGU
오스왈도 게바라 무히카 공항,AGV
아가티 비행장,AGX
아바 공항,AHB
아헤 공항,AHE
훙위안 공항,AHJ
아테네 벤 엡스 공항,AHN
알게로 페르틸리아 공항,AHO
체리프 알 이드리시 공항,AHU
얼라이언스 공항,AIA
아이링라플랍 아이록 공항,AIC
아일룩 공항,AIM
웨인라이트 공항,AIN
아담푸르 공항,AIP
아리푸아낭 공항,AIR
아로라 아일랜드 공항,AIS
아이투타키 공항,AIT
에누아 공항,AIU
아작시오 나폴레옹 보나파르트 공항,AJA
알 자우프 국내선 공항,AJF
아리 공항,AJI
아라크 공항,AJK
렝푸이 공항,AJL
우아니 공항,AJN
아르비스야우르 공항,AJR
산타 마리아 공항,AJU
마노 다약 국제 공항,AJY
안캉 울리푸 공항,AKA
앗카 공항,AKB
아콜라 공항,AKD
쿠프라 공항,AKF
아키악 공항,AKI
아사히카와 공항,AKJ
아키오크 공항,AKK
오클랜드 공항,AKL
킹 새먼 공항,AKN
아낙투북 패스 공항,AKP
아쿠레 공항,AKR
아우키 과우나루우 공항,AKS
악수 공항,AKU
아쿨리비크 공항,AKV
악토베 공항,AKX
시트웨 공항,AKY
알마티 국제 공항,ALA
올버니 국제 공항,ALB
알리칸테 엘체 공항,ALC
알파인 카스파리 시립공항,ALE
알타 공항,ALF
후아리 부메디엔 공항,ALG
올버니 공항,ALH
앨리스 국제 공항,ALI
앨라모고도 화이트 샌즈 공항,ALM
워털루 공항,ALO
알레포 국제 공항,ALP
알레그레테 공항,ALQ
알렉산드라 비행장,ALR
샌루이스밸리 공항,ALS
왈라왈라 공항,ALW
엘 누자 공항,ALY
알리탁 수상비행기 기지,ALZ
릭 허드슨 애머릴로 국제 공항,AMA
사르다르 발라바이 파텔 국제공항,AMD
아르바 민치 공항,AMH
셀라파랑 공항,AMI
퀸 알리아 국제 공항,AMM
파티무라 공항,AMQ
암스테르담 스키폴 공항,AMS
암데르마 공항,AMV
암바토마인티 공항,AMY
앙가마 마라 공항,ANA
테드 스티븐스 앵커리지 국제 공항,ANC
앙제 루아르 공항,ANE
세로 모레노 국제 공항,ANF
앙굴렘 코냑 국제공항,ANG
아니악 공항,ANI
에타임스구트 공군기지,ANK
안시라바토 공항,ANM
앤트워프 국제 공항,ANR
안다와일라스 공항,ANS
V. C. 버드 국제공항,ANU
안빅 공항,ANV
안도야 공항,ANX
라이프치히 알텐부르크 공항,AOC
아나돌루 공항,AOE
안산 텅아오 공항,AOG
안코나 팔코나라 공항,AOI
아오모리 공항,AOJ
카르파토스 아일랜드 내셔널 공항,AOK
앨투나 블레어 카운티 공항,AOO
술탄 압둘 할림 공항,AOR
아묵 베이 수상비행기 기지,AOS
아오스타 밸리 공항,AOT
아타푸 국제공항,AOU
센테니얼 공항,APA
아폴로 공항,APB
나파 카운티 공항,APC
나폴리 공항,APF
아파타키 공항,APK
남풀라 공항,APL
앨피너 카운티 공항,APN
안토니오 롤단 베탕쿠르 공항,APO
팔레올로 국제 공항,APW
아라퐁가스 공항,APX
아라라콰라 공항,AQA
안칭 티안주산 공항,AQG
